nct_id,term,outcome,model_type,0,1,2,3,4,5,6,7,8,9,10,11
NCT00424476,como,eq5d_index,sp,0.339 (0.034),0.341 (0.033),0.34 (0.032),0.339 (0.032),0.336 (0.032),0.33 (0.033),0.323 (0.034),0.314 (0.036),0.305 (0.039),,,
NCT00424476,como,eq5d_index,sq,0.33 (0.035),0.337 (0.033),0.34 (0.032),0.34 (0.032),0.335 (0.032),0.327 (0.033),0.316 (0.034),0.3 (0.037),0.281 (0.044),,,
NCT00424476,inter,eq5d_index,sp,0.356 (0.034),0.352 (0.033),0.349 (0.032),0.345 (0.032),0.342 (0.033),0.338 (0.033),0.335 (0.034),0.331 (0.036),0.328 (0.038),,,
NCT00424476,inter,eq5d_index,sq,0.35 (0.036),0.347 (0.033),0.344 (0.033),0.341 (0.033),0.337 (0.033),0.333 (0.034),0.329 (0.037),0.324 (0.045),0.318 (0.059),,,
NCT00428090,como,eq5d_index,sp,0.204 (0.037),0.202 (0.037),0.201 (0.037),0.2 (0.037),0.2 (0.037),0.201 (0.038),,,0.203 (0.045),,,
NCT00428090,como,eq5d_index,sq,0.209 (0.038),0.203 (0.037),0.199 (0.037),0.2 (0.037),0.203 (0.037),0.21 (0.039),,,0.251 (0.064),,,
NCT00428090,inter,eq5d_index,sp,0.2 (0.039),0.2 (0.038),0.2 (0.037),0.2 (0.037),0.2 (0.038),0.2 (0.038),,,0.201 (0.043),,,
NCT00428090,inter,eq5d_index,sq,0.203 (0.039),0.2 (0.038),0.199 (0.037),0.2 (0.037),0.202 (0.038),0.206 (0.04),,,0.227 (0.072),,,
NCT00439647,como,eq5d_index,sp,0.399 (0.026),0.391 (0.025),0.384 (0.025),0.378 (0.024),0.371 (0.024),0.36 (0.024),0.345 (0.024),0.326 (0.026),0.306 (0.029),,,
NCT00439647,como,eq5d_index,sq,0.396 (0.026),0.392 (0.025),0.387 (0.025),0.379 (0.024),0.37 (0.024),0.359 (0.024),0.345 (0.024),0.33 (0.025),0.314 (0.028),,,
NCT00439647,inter,eq5d_index,sp,0.399 (0.026),0.393 (0.025),0.386 (0.025),0.38 (0.024),0.374 (0.024),0.369 (0.024),0.364 (0.025),0.359 (0.025),0.354 (0.027),,,
NCT00439647,inter,eq5d_index,sq,0.402 (0.026),0.391 (0.025),0.382 (0.025),0.376 (0.025),0.371 (0.024),0.37 (0.024),0.37 (0.026),0.373 (0.029),0.378 (0.036),,,
NCT00466167,como,eq5d_index,sp,0.32 (0.04),0.32 (0.039),0.321 (0.038),0.319 (0.038),0.309 (0.038),0.294 (0.039),0.276 (0.042),,0.239 (0.058),,,
NCT00466167,como,eq5d_index,sq,0.315 (0.04),0.322 (0.038),0.322 (0.038),0.317 (0.038),0.307 (0.038),0.291 (0.039),0.269 (0.043),,0.21 (0.063),,,
