nct_id,parameter,arm,sex,como_cnt,age_std_m,base_m,age_std_s,base_s,participants
NCT00424476,sf36_mcs,0,0,1,-1.799,21.164,0.64,1.779,81
NCT00424476,sf36_mcs,0,0,2,-1.4,20.654,0.818,2.08,161
NCT00424476,sf36_mcs,0,1,0,-2.6,21.369,0,0,1
NCT00424476,sf36_mcs,0,1,1,-1.867,21.903,0.708,0.976,4
NCT00424476,sf36_mcs,0,1,2,-1.883,20.405,0.581,1.759,12
NCT00424476,sf36_mcs,1,0,0,-1.499,20.829,0.715,1.92,23
NCT00424476,sf36_mcs,1,0,1,-1.699,20.725,0.745,1.871,98
NCT00424476,sf36_mcs,1,0,2,-1.632,20.668,0.711,2.028,159
NCT00424476,sf36_mcs,1,1,0,-2.267,21.631,0,0,1
NCT00424476,sf36_mcs,1,1,1,-1.911,22.441,0.888,1.072,3
NCT00424476,sf36_mcs,1,1,2,-1.267,21.051,0.537,1.66,6
NCT00424476,sf36_pcs,0,0,0,-1.84,28.878,0.806,2.374,28
NCT00424476,sf36_pcs,0,0,1,-1.799,28.605,0.64,2.204,81
NCT00424476,sf36_pcs,0,0,2,-1.4,28.133,0.818,2.528,161
NCT00424476,sf36_pcs,0,1,0,-2.6,28.965,0,0,1
NCT00424476,sf36_pcs,0,1,1,-1.867,29.837,0.708,1.784,4
NCT00424476,sf36_pcs,0,1,2,-1.883,28.111,0.581,1.977,12
NCT00424476,sf36_pcs,1,0,0,-1.499,28.594,0.715,2.692,23
NCT00424476,sf36_pcs,1,0,1,-1.699,28.595,0.745,2.323,98
NCT00424476,sf36_pcs,1,0,2,-1.632,28.116,0.711,2.239,159
NCT00424476,sf36_pcs,1,1,0,-2.267,32.036,0,0,1
NCT00424476,sf36_pcs,1,1,1,-1.911,28.721,0.888,1.28,3
NCT00424476,sf36_pcs,1,1,2,-1.267,29.125,0.537,2.058,6
NCT00472199,sf36_mcs,0,0,0,-0.446,59.734,0.774,13.881,19
NCT00472199,sf36_mcs,0,0,1,-0.536,56.977,0.712,15.186,25
NCT00472199,sf36_mcs,0,0,2,-0.047,61.016,0.671,13.129,50
NCT00472199,sf36_mcs,0,1,0,-0.771,65.803,0.913,9.942,21
NCT00472199,sf36_mcs,0,1,1,-0.05,59.374,0.713,14.166,24
NCT00472199,sf36_mcs,0,1,2,-0.164,62.239,0.604,11.305,24
NCT00472199,sf36_mcs,1,0,0,-0.414,56.936,0.82,13.194,24
NCT00472199,sf36_mcs,1,0,1,-0.176,59.442,0.846,16.059,39
NCT00472199,sf36_mcs,1,0,2,0.262,62.72,0.603,10.898,41
NCT00472199,sf36_mcs,1,1,0,-0.941,67.043,0.994,8.928,17
NCT00472199,sf36_mcs,1,1,1,-0.328,63.678,0.782,15.448,23
NCT00472199,sf36_mcs,1,1,2,0.278,56.219,0.628,15.496,24
NCT00472199,sf36_pcs,0,0,0,-0.446,62.922,0.774,15.115,19
NCT00472199,sf36_pcs,0,0,1,-0.536,61.928,0.712,13.07,25
NCT00472199,sf36_pcs,0,0,2,-0.047,61.589,0.671,13.146,50
NCT00472199,sf36_pcs,0,1,0,-0.771,71.914,0.913,8.198,21
NCT00472199,sf36_pcs,0,1,1,-0.05,62.23,0.713,12.931,24
NCT00472199,sf36_pcs,0,1,2,-0.164,63.569,0.604,14.363,24
NCT00472199,sf36_pcs,1,0,0,-0.414,64.232,0.82,11.589,24
NCT00472199,sf36_pcs,1,0,1,-0.176,64.054,0.846,13.67,39
NCT00472199,sf36_pcs,1,0,2,0.262,61.482,0.603,11.712,41
NCT00472199,sf36_pcs,1,1,0,-0.941,72.213,0.994,8.03,17
NCT00472199,sf36_pcs,1,1,1,-0.328,66.39,0.782,12.436,23
NCT00472199,sf36_pcs,1,1,2,0.278,57.016,0.628,14.657,24
NCT00783718,sf36_mcs,0,0,0,-1.617,38.716,0.589,6.709,23
NCT00783718,sf36_mcs,0,0,1,-1.095,40.589,0.883,7.067,21
NCT00783718,sf36_mcs,0,0,2,-0.656,40.667,1.012,6.242,13
NCT00783718,sf36_mcs,0,1,0,-1.557,42.374,0.729,6.951,45
NCT00783718,sf36_mcs,0,1,1,-1.208,38.294,0.929,8.157,24
NCT00783718,sf36_mcs,0,1,2,-1.032,38.8,0.677,7.35,23
NCT00783718,sf36_mcs,1,0,0,-1.589,39.928,0.702,6.279,95
NCT00783718,sf36_mcs,1,0,1,-1.518,37.18,0.893,6.588,51
